id,date,department,requester,approver,vendor,category,amount,risk_score,risk_level,flags_text
BAD-DUP-09-1,2025-02-01,Facilities,EMP014,EMP023,Vendor B,IT Equipment,1417.65,3,High,"Weekend transaction, Possible duplicate payment"
BAD-DUP-01-0,2025-02-22,IT,EMP012,EMP029,Vendor D,Professional Services,3057.67,3,High,"Weekend transaction, Possible duplicate payment"
BAD-DUP-01-1,2025-02-23,Marketing,EMP013,EMP025,Vendor D,Travel,3057.67,3,High,"Weekend transaction, Possible duplicate payment"
BAD-SOD-08,2025-12-27,Finance,EMP005,EMP005,Vendor A,Travel,2168.82,2,Medium,"Self-approved, Weekend transaction"
BAD-DUP-07-0,2025-02-06,Procurement,EMP029,EMP001,Vendor T,Professional Services,1343.79,2,Medium,Possible duplicate payment
BAD-DUP-05-1,2025-11-05,Sales,EMP029,EMP010,Vendor T,Travel,1368.58,2,Medium,Possible duplicate payment
BAD-DUP-04-1,2025-07-17,Marketing,EMP009,EMP021,Vendor S,Office Supplies,3133.56,2,Medium,Possible duplicate payment
BAD-DUP-04-0,2025-07-16,IT,EMP014,EMP011,Vendor S,Travel,3133.56,2,Medium,Possible duplicate payment
BAD-DUP-03-1,2025-07-31,Finance,EMP029,EMP004,Vendor E,Travel,3028.51,2,Medium,Possible duplicate payment
BAD-DUP-03-0,2025-07-30,Procurement,EMP022,EMP015,Vendor E,Travel,3028.51,2,Medium,Possible duplicate payment
BAD-DUP-02-1,2025-02-06,Sales,EMP006,EMP015,Vendor E,Professional Services,2745.52,2,Medium,Possible duplicate payment
BAD-SOD-09,2025-03-09,Procurement,EMP005,EMP005,Vendor H,Marketing Spend,2879.94,2,Medium,"Self-approved, Weekend transaction"
BAD-DUP-06-0,2025-04-07,Sales,EMP013,EMP010,Vendor Q,Office Supplies,2312.12,2,Medium,Possible duplicate payment
BAD-SOD-03,2025-03-22,Facilities,EMP005,EMP005,Vendor O,Office Supplies,3971.43,2,Medium,"Self-approved, Weekend transaction"
BAD-ROUND-04,2025-09-13,Procurement,EMP006,EMP012,Vendor F,Professional Services,2500.0,2,Medium,"Round number, Weekend transaction"
BAD-OUTLIER-09,2025-10-25,Finance,EMP017,EMP005,Vendor M,Office Supplies,15748.3,2,Medium,"Unusually high amount, Weekend transaction"
BAD-OUTLIER-06,2025-06-07,Finance,EMP007,EMP017,Vendor H,IT Equipment,19198.16,2,Medium,"Unusually high amount, Weekend transaction"
BAD-DUP-06-1,2025-04-08,Marketing,EMP016,EMP013,Vendor Q,Office Supplies,2312.12,2,Medium,Possible duplicate payment
BAD-DUP-08-0,2025-12-16,Marketing,EMP025,EMP016,Vendor R,Office Supplies,1973.02,2,Medium,Possible duplicate payment
BAD-DUP-07-1,2025-02-07,IT,EMP005,EMP013,Vendor T,Marketing Spend,1343.79,2,Medium,Possible duplicate payment
BAD-DUP-08-1,2025-12-17,Finance,EMP019,EMP003,Vendor R,Office Supplies,1973.02,2,Medium,Possible duplicate payment
